name,cantidad,localizacion
CARPROX 20mg 100cp,6,"[12, 12, 19]"
PLASMORAL DIGEST RZ GDE-Y GIGAN 30sobres,2,"[16, 20, 14]"
PREDNICORTONE 5mg 30cp,1,"[5, 9, 12]"
CLEAN AURAL CANINO 100ml,4,"[20, 10, 7]"
CONOFITE 20ml,6,"[15, 6, 3]"
SCALIBOR GDE 65cm,3,"[14, 2, 13]"
VERSICAN PLUS DHPPIL4R-25dosis,7,"[19, 9, 20]"
T-61 50ml iny,1,"[3, 18, 12]"
SIMPARICA PERROS 5-10kg 20mg 3cp,3,"[12, 9, 5]"
DEXACORTONE 2mg 10cp,4,"[4, 20, 17]"
PROPOFOL LIPURO 1%- BRAUN VET 50ml,3,"[4, 15, 8]"
MELOXIDYL GATO oral 5ml,1,"[8, 6, 4]"
CLEAN AURAL CANINO 100ml,7,"[9, 10, 15]"
CANINE I/D STEW POLLO-VEGETALES 12x354gr,1,"[8, 14, 17]"
LIBRELA 30mg iny 2x1ml,6,"[10, 8, 20]"
JERINGA INJEKT 2CUERPOS- S/A 2ml 100un,4,"[14, 7, 10]"
SANICAT CLUMPING VAINILLA-MANDARINA 8L,3,"[13, 12, 2]"
IRC-VET 60cp,2,"[6, 2, 14]"
