name,cantidad,localizacion
PAÑO BUSTER POLIETILENO- 90x120cm,1,"[13, 9, 3]"
LIBEO 10mg 120cp,7,"[10, 10, 17]"
VETORYL 10mg 30caps,6,"[1, 17, 6]"
SIMPARICA PERROS 20-40kg 80mg 3cp,4,"[16, 20, 13]"
LACRISTAL NEO 10ml,1,"[16, 15, 3]"
MELOXIDYL GATO 15ml,6,"[4, 1, 19]"
SCALIBOR GDE 65cm,1,"[20, 3, 9]"
VECTRA 3D PERRO 4-10kg  12pip,2,"[15, 17, 4]"
VECTRA 3D PERRO 25-40kg  12pip,3,"[15, 3, 20]"
"STRONGHOLD PLUS GATO 30/5mg 2,5-5kg 6pip",6,"[5, 16, 15]"
ADTAB GATO 48mg 2-8kg 1cp,5,"[18, 2, 18]"
SIMPARICA TRIO PERROS 10-20kg 3cp,3,"[13, 19, 13]"
SIMPARICA TRIO PERROS 5-10kg 3cp,5,"[11, 4, 14]"
