id;name;ean;limpia
1;CALIERCORTIN 4mg/ml- 50ml iny;8422320327704.0;CALIERCORTIN 
12;ADTAB GATO 12mg 0,5-2kg 1cp;5420036974352.0;ADTAB GATO 
23;ADTAB GATO 48mg 2-8kg 1cp;5420036974369.0;ADTAB GATO 
34;NICILAN 200/50 120cp;8437002582937.0;NICILAN 
45;FORTEKOR SABOR 2,5mg- 28cp;5703188222596.0;FORTEKOR SABOR 
56;CONOFITE 20ml;5703188222589.0;CONOFITE 
67;OTOCLEAN LIMPIADOR- OTOLOGICO 18x5ml;5703188222602.0;OTOCLEAN LIMPIADOR- OTOLOGICO 
78;OXISPEED 60cp;8713184013903.0;OXISPEED 
89;OTINET 125ml;3661103002123.0;OTINET 
100;IRC-VET 60cp;5701170313291.0;IRC-VET 
111;PAÑO BUSTER POLIETILENO- 90x120cm;5701170440836.0;PAÑO BUSTER POLIETILENO- 
122;PAÑO BUSTER POLIETILENO- 60x90cm;8410357308629.0;PAÑO BUSTER POLIETILENO- 
133;PAÑO BUSTER POLIETILENO- 120x120cm;8713184000651.0;PAÑO BUSTER POLIETILENO- 
144;CANINSULIN 10x2,50ml-;8713184000484.0;CANINSULIN 
155;GLUCANTIME 5x5ml;8436529621297.0;GLUCANTIME 
166;LUBRITHAL 10gr;8436025707150.0;LUBRITHAL 
177;CLEAN AURAL CANINO 100ml;;CLEAN AURAL CANINO 
188;T-61 50ml iny;;T-
199;SCALIBOR GDE 65cm;;SCALIBOR GDE 
210;SCALIBOR PEQ 48cm;;SCALIBOR PEQ 
221;DEXABIOPEN 100ml;4022495250827.0;DEXABIOPEN 
232;DEPO-MODERIN 5ml;4022495787521.0;DEPO-MODERIN 
243;CONTENEDOR PARA- MUESTRAS 150ml;4030539122641.0;CONTENEDOR PARA- MUESTRAS 
254;AGUJA STERICAN AMARILLA-20G 0,9X25mm100u;4049500976268.0;AGUJA STERICAN AMARILLA-
265;AGUJA STERICAN AZUL 23G- 0,6x25mm 100un;4052199515274.0;AGUJA STERICAN AZUL 
276;AGUJA STERICAN NARANJA-25G 0,5x16mm100un;8414042003790.0;AGUJA STERICAN NARANJA-
287;JERINGA INJEKT 2CUERPOS- S/A 2ml 100un;8437002582739.0;JERINGA INJEKT 
298;DISCOFIX C/ALARGADERA- 75cm;8713184101877.0;DISCOFIX C/ALARGADERA- 
309;PROPOFOL LIPURO 1%- BRAUN VET 50ml;5701170421316.0;PROPOFOL LIPURO 
320;ESPARADRAPO OMNIPLAST- CARNE 5cmx5m;;ESPARADRAPO OMNIPLAST- CARNE 
331;VENDA ELASTICA LASTOTEL- 6cmx4m;5600788469126.0;VENDA ELASTICA LASTOTEL- 
